CRN   Course        Current      Max         Number on  Fill 
                    Enrollment   Enrollment  Wait-list  Rate %
00428 CISD002.64Z      30          40           0        75.0
41239 CISD003.02Z      20          40           1        52.5
44153 CISD003.03Z      18          40           2        50.0
41271 CISD003.64Z      34          40           4        95.0
47551 CISD003.66Z      42          40           3       112.5
00429 CISD003.74Z      34          40          11       112.5
43305 CISD004.01Z      12          40           1        32.5
43279 CISD004.64Z      42          40           1       107.5
43676 CISD004.65Z      20          40           2        55.0
48753 CISD006.64Z      42          40           2       110.0
47182 CISD009.01Z      29          40           0        72.5
42536 CISD014A64Z      31          40           2        82.5
47837 CISD018A01Y      42          40           1       107.5
00436 CISD018A64Z      32          30           1       110.0
42525 CISD022A02Y      47          40           0       117.5
46749 CISD022A04Y      45          40           3       120.0
43046 CISD022A05Z      40          40           2       105.0
43277 CISD022A07Y      41          40           0       102.5
44189 CISD022A09Z      38          40           0        95.0
42524 CISD022A61Z      45          40           2       117.5
42526 CISD022A63Z      34          40           4        95.0
42528 CISD022A64Y      36          40           0        90.0
43319 CISD022A64Z      49          54           3        96.3
42522 CISD022B03Y      53          40           2       137.5
43042 CISD022B04Z      36          40           0        90.0
48864 CISD022B05Z      40          40           1       102.5
42520 CISD022B61       59          40           0       147.5
42523 CISD022B63Z      41          40           0       102.5
43677 CISD022B64Z      31          40           0        77.5
42519 CISD022C02Y      28          40           0        70.0
43275 CISD022C03Y      49          40           0       122.5
43675 CISD022C13Y      17          40           0        42.5
44159 CISD022C61Z      29          40           1        75.0
46796 CISD022C64Z      46          40           4       125.0
48959 CISD022C65Z      31          40           0        77.5
47512 CISD022C88Z      47          40           1       120.0
42094 CISD029.01Z      31          40           0        77.5
00440 CISD035A01Y      32          40           1        82.5
44373 CISD035A11Z      27          40           0        67.5
00441 CISD035A64Z      38          40           1        97.5
00443 CISD035B11Y      15          40           0        37.5
48703 CISD036B64Z      30          40           0        75.0
48698 CISD037.04Z      23          40           0        57.5
48321 CISD038.64Z      18          40           0        45.0
44500 CISD040.01Y      33          30           2       116.7
44673 CISD040.02Z      28          30           6       113.3
47836 CISD040.64Z      47          30           2       163.3
45205 CISD041A01Z      39          40           1       100.0
45467 CISD041A02Y      38          40           0        95.0
46054 CISD041A04Z      43          40           0       107.5
48294 CISD041B01Y      45          40           0       112.5
48326 CISD041B64Z      23          40           0        57.5
48418 CISD043.64Z      23          40           2        62.5
48292 CISD046.64Z      38          50           2        80.0
44661 CISD064B64Z      50          40           0       125.0
47177 CISD064E01Z      35          40           0        87.5
48729 CISD069C01Z      20          20           1       105.0
48728 CISD079.64Z      19          40           1        50.0
42103 CISD089A64Z      34          40           0        85.0
48704 CISD095A15Y       9          20           0        45.0
48705 CISD095A15Z       5          20           1        30.0
48706 CISD095B15Y      13          20           5        90.0
48707 CISD095B15Z       4          20           4        40.0
48731 CISD095L15Z      40          40           7       117.5
42533 CISD098.64Z      18          25           2        80.0
42532 CISD099.64Z      16          25           2        72.0
43529 CISD102.61Z      46          50           2        96.0
00454 CISD108.64Z      28          30           3       103.3
00464 CISD170F01Z      47          40           0       117.5
41976 CISD21JA01Z      40          40           2       105.0
45155 CISD21JA02Y      38          40           1        97.5
47513 CISD21JA63Z      48          40           3       127.5
46057 CISD21JA64Z      47          40           4       127.5
47776 CISD308.64Z      14          10           1       150.0
47770 CISD318A04Z      10          10           0       100.0
48702 CISD340.01Z       8          10           0        80.0
47778 CISD340.02Z       4          10           3        70.0
48352 CISD340.64Z       7          10           2        90.0
48730 CISD369C01Z      17          20           1        90.0
47835 CISD398.64Z      12          15           1        86.7
47777 CISD399.64Z      15          15           2       113.3

-----

Classes below fill rate of 22.0%:
No class has a fill rate below 22.0%

-----

Classes sorted by fill rate in ascending order: 
CRN   Course        Current      Max         Number on  Fill 
                    Enrollment   Enrollment  Wait-list  Rate %
48705 CISD095A15Z       5          20           1        30.0
43305 CISD004.01Z      12          40           1        32.5
00443 CISD035B11Y      15          40           0        37.5
48707 CISD095B15Z       4          20           4        40.0
43675 CISD022C13Y      17          40           0        42.5
48321 CISD038.64Z      18          40           0        45.0
48704 CISD095A15Y       9          20           0        45.0
44153 CISD003.03Z      18          40           2        50.0
48728 CISD079.64Z      19          40           1        50.0
41239 CISD003.02Z      20          40           1        52.5
43676 CISD004.65Z      20          40           2        55.0
48698 CISD037.04Z      23          40           0        57.5
48326 CISD041B64Z      23          40           0        57.5
48418 CISD043.64Z      23          40           2        62.5
44373 CISD035A11Z      27          40           0        67.5
42519 CISD022C02Y      28          40           0        70.0
47778 CISD340.02Z       4          10           3        70.0
42532 CISD099.64Z      16          25           2        72.0
47182 CISD009.01Z      29          40           0        72.5
44159 CISD022C61Z      29          40           1        75.0
48703 CISD036B64Z      30          40           0        75.0
00428 CISD002.64Z      30          40           0        75.0
43677 CISD022B64Z      31          40           0        77.5
48959 CISD022C65Z      31          40           0        77.5
42094 CISD029.01Z      31          40           0        77.5
48292 CISD046.64Z      38          50           2        80.0
42533 CISD098.64Z      18          25           2        80.0
48702 CISD340.01Z       8          10           0        80.0
00440 CISD035A01Y      32          40           1        82.5
42536 CISD014A64Z      31          40           2        82.5
